active,entrants,exits,quarter,year
42025,1913,1546,Q4,2011
42167,559,417,Q1,2012
42098,225,294,Q2,2012
42306,685,477,Q3,2012
41861,247,692,Q4,2012
41996,391,256,Q1,2013
42068,299,227,Q2,2013
42177,509,400,Q3,2013
42022,263,418,Q4,2013
42120,532,434,Q1,2014
41974,621,767,Q2,2014
42398,743,319,Q3,2014
42052,138,484,Q4,2014
42091,1146,1209,Q4,2015
42091,1146,1209,Q4,2016
