active,entrants,exits,quarter,year
15818,,59,Q4,2011
15834,81,6,Q1,2012
15907,75,2,Q2,2012
15993,93,7,Q3,2012
16070,89,12,Q4,2012
16160,93,3,Q1,2013
16127,59,2,Q2,2013
16285,69,1,Q3,2013
13737,,,Q4,2013
13737,63,63,Q1,2014
13785,90,42,Q2,2014
13798,90,77,Q3,2014
13782,88,104,Q4,2014
13813,78,47,Q1,2015
13857,75,31,Q2,2015
13883,76,50,Q3,2015
13898,68,53,Q4,2015
