active,entrants,exits,quarter,year
81,,,Q4,2011
78,,,Q1,2012
82,,,Q2,2012
83,,,Q3,2012
86,,,Q4,2012
89,,,Q1,2013
92,,,Q2,2013
93,,,Q3,2013
528,,,Q4,2013
548,20,,Q1,2014
555,7,,Q2,2014
555,6,6,Q3,2014
558,6,3,Q4,2014
570,51,39,Q4,2015
619,71,22,Q4,2016
