address,agricultural_area_burned,airplanes_cl215,airplanes_cl415,airplanes_gru,airplanes_pzl,army,crop_residue_area_burned,dumping_ground_area_burned,end_time,fire_station,fire_trucks,firefighters,forest_area_burned,forestry,grove_area_burned,helicopters,local_authorities_vehicles,location,low_vegetation_area_burned,machinery,municipality,other_firefighters,prefecture,start_time,swamp_area_burned,volunteers,water_tank_trucks,wildland_crew,woodland_area_burned
,0.0,,,,,,0.0,0.0,2006-06-20T11:50:00,Π.Κ. ΜΟΥΡΙΩΝ,,,0.0,ΚΙΛΚΙΣ,0.0,,,ΑΓΡ. ΠΕΡ. ΚΟΡΥΦΗΣ Δ. ΔΟΪΡΑΝΗΣ,1.0,,,,ΚΙΛΚΙΣ,2006-06-20T00:00:00,0.0,,,,0.0
,1.0,,,,,,0.0,0.0,,Π.Υ. ΠΥΡΓΟΥ,,,0.0,,0.0,,,Δ.ΒΩΛΑΚΟΣ Δ/Δ ΕΠΙΤΑΛΙΟΥ,0.0,,,,ΗΛΕΙΑΣ,2006-06-24T00:00:00,0.0,,,,0.0
,2.0,,,,,,0.0,0.0,2006-07-29T04:10:00,1ος  Π.Σ. ΛΑΡΙΣΑΣ,,,0.0,ΛΑΡΙΣΑΣ,0.0,,,Δ.Δ.ΕΛΕΥΘΕΡΑΙ Δ.ΚΟΙΛΑΔΑΣ,0.0,,,,ΛΑΡΙΣΑΣ,2006-07-29T00:00:00,0.0,,,,0.0
,0.0,,,,,,3.0,0.0,,Π.Κ. ΦΑΡΣΑΛΩΝ,,,0.0,,0.0,,,ΧΑΛΚΙΑΔΕΣ Δ.ΠΟΛΥΔΑΜΑΝΤΑ,0.0,,,,ΛΑΡΙΣΑΣ,2006-08-04T00:00:00,0.0,,,,0.0
,0.0,,,,,,0.0,0.0,2006-08-09T00:38:00,Π.Υ. ΞΑΝΘΗΣ,,,0.0,ΞΑΝΘΗΣ,0.0,,,22ΧΛΜ ΞΑΝΘΗΣ ΑΒΑΤΟΥ,0.05,,,,ΞΑΝΘΗΣ,2006-08-09T00:00:00,0.0,,,,0.0
,0.0,,,,,,0.0,0.0,2006-08-27T20:00:00,Π.Υ. ΛΙΒΑΔΕΙΑΣ,,,0.0,ΛΙΒΑΔΕΙΑΣ,0.0,,,ΜΟΛΟΓΓΟΣ Δ. Δ. ΜΑΥΡΟΝΕΡΙΟΥ,0.0,,,,ΒΟΙΩΤΙΑΣ,2006-08-27T00:00:00,0.0,,,,120.0
,2.0,,,,,,0.0,0.0,2006-09-03T18:10:00,Π.Υ. ΚΡΩΠΙΑΣ,,,0.0,ΠΕΝΤΕΛΗΣ,0.0,,,ΘΕΣΗ ΓΥΑΛΟΥ-ΣΠΑΤΑ,0.0,,,,ΑΤΤΙΚΗΣ,2006-09-09T00:00:00,0.0,,,,0.0
,0.0,,,,,,0.02,0.0,,1ος  Π.Σ. ΛΑΡΙΣΑΣ,,,0.0,ΛΑΡΙΣΑΣ,0.0,,,ΑΓΡ.ΠΕΡ.ΡΑΨΑΝΗΣ,0.0,,,,ΛΑΡΙΣΑΣ,2007-01-28T00:00:00,0.0,,,,0.0
,0.0,,,,,,0.0,0.0,2007-03-03T03:00:00,Π.Κ. ΣΚΟΠΕΛΟΥ,,,0.0,ΣΚΟΠΕΛΟΥ,0.0,,,"""""""ΣΚΟΠΕΛΟΣ ΘΕΣΗ """"""""ΓΛΥΦΟΝΕΡΙ""""""""""""""",3.0,,,,ΜΑΓΝΗΣΙΑΣ,2007-03-03T00:00:00,0.0,,,,0.0
,0.0,,,,,,0.0,0.0,,1ος  Π.Σ. ΛΑΡΙΣΑΣ,,,0.0,,0.0,,,ΑΓΡ.ΠΕΡ.ΦΑΛΑΝΗΣ,0.0,,,,ΛΑΡΙΣΑΣ,2007-03-08T00:00:00,0.05,,,,0.0
