age_group,count,election_type,electoral_district,year
24-29,11304,βουλευτικές,ΗΜΑΘΙΑΣ,2012
24-29,22749,βουλευτικές,ΗΡΑΚΛΕΙΟΥ,2012
24-29,5108,βουλευτικές,ΘΕΣΠΡΩΤΙΑΣ,2012
24-29,41266,βουλευτικές,Α'  ΘΕΣ/ΝΙΚΗΣ,2012
24-29,22524,βουλευτικές,Β'  ΘΕΣ/ΝΙΚΗΣ,2012
24-29,13304,βουλευτικές,ΙΩΑΝΝΙΝΩΝ,2012
24-29,10838,βουλευτικές,ΚΑΒΑΛΑΣ,2012
24-29,11200,βουλευτικές,ΚΑΡΔΙΤΣΗΣ,2012
24-29,4368,βουλευτικές,ΚΑΣΤΟΡΙΑΣ,2012
24-29,8038,βουλευτικές,ΚΕΡΚΥΡΑΣ,2012
24-29,3401,βουλευτικές,ΚΕΦΑΛΛΗΝΙΑΣ,2012
24-29,8055,βουλευτικές,ΚΙΛΚΙΣ,2012
24-29,13534,βουλευτικές,ΚΟΖΑΝΗΣ,2012
24-29,10356,βουλευτικές,ΚΟΡΙΝΘΙΑΣ,2012
24-29,9122,βουλευτικές,ΚΥΚΛΑΔΩΝ,2012
24-29,7129,βουλευτικές,ΛΑΚΩΝΙΑΣ,2012
24-29,20935,βουλευτικές,ΛΑΡΙΣΗΣ,2012
24-29,5737,βουλευτικές,ΛΑΣΙΘΙΟΥ,2012
24-29,7911,βουλευτικές,ΛΕΣΒΟΥ,2012
24-29,2172,βουλευτικές,ΛΕΥΚΑΔΟΣ,2012
24-29,14589,βουλευτικές,ΜΑΓΝΗΣΙΑΣ,2012
24-29,14300,βουλευτικές,ΜΕΣΣΗΝΙΑΣ,2012
24-29,11665,βουλευτικές,ΞΑΝΘΗΣ,2012
24-29,12334,βουλευτικές,ΠΕΛΛΗΣ,2012
24-29,10514,βουλευτικές,ΠΙΕΡΙΑΣ,2012
24-29,5692,βουλευτικές,ΠΡΕΒΕΖΗΣ,2012
24-29,6355,βουλευτικές,ΡΕΘΥΜΝΗΣ,2012
24-29,10545,βουλευτικές,ΡΟΔΟΠΗΣ,2012
24-29,3284,βουλευτικές,ΣΑΜΟΥ,2012
24-29,18166,βουλευτικές,ΣΕΡΡΩΝ,2012
24-29,12335,βουλευτικές,ΤΡΙΚΑΛΩΝ,2012
24-29,12081,βουλευτικές,ΦΘΙΩΤΙΔΟΣ,2012
24-29,4972,βουλευτικές,ΦΛΩΡΙΝΗΣ,2012
24-29,3125,βουλευτικές,ΦΩΚΙΔΟΣ,2012
24-29,8112,βουλευτικές,ΧΑΛΚΙΔΙΚΗΣ,2012
24-29,11670,βουλευτικές,ΧΑΝΙΩΝ,2012
24-29,4460,βουλευτικές,ΧΙΟΥ,2012
30-35,23685,βουλευτικές,ΑΙΤΩΛ/ΝΙΑΣ,2012
30-35,9173,βουλευτικές,ΑΡΓΟΛΙΔΟΣ,2012
30-35,9688,βουλευτικές,ΑΡΚΑΔΙΑΣ,2012
30-35,7643,βουλευτικές,ΑΡΤΗΣ,2012
30-35,39209,βουλευτικές,Α'ΑΘΗΝΩΝ,2012
30-35,140274,βουλευτικές,Β'ΑΘΗΝΩΝ,2012
30-35,48118,βουλευτικές,ΝΟΜΟΥ ΑΤΤΙΚΗΣ,2012
30-35,18072,βουλευτικές,Α'  ΠΕΙΡΑΙΩΣ,2012
30-35,27282,βουλευτικές,Β'  ΠΕΙΡΑΙΩΣ,2012
30-35,29529,βουλευτικές,ΑΧΑΪΑΣ,2012
30-35,10999,βουλευτικές,ΒΟΙΩΤΙΑΣ,2012
30-35,3700,βουλευτικές,ΓΡΕΒΕΝΩΝ,2012
30-35,10707,βουλευτικές,ΔΡΑΜΑΣ,2012
30-35,17976,βουλευτικές,ΔΩΔΕΚΑΝΗΣΟΥ,2012
30-35,15427,βουλευτικές,ΕΒΡΟΥ,2012
30-35,19854,βουλευτικές,ΕΥΒΟΙΑΣ,2012
30-35,2439,βουλευτικές,ΕΥΡΥΤΑΝΙΑΣ,2012
30-35,3654,βουλευτικές,ΖΑΚΥΝΘΟΥ,2012
30-35,16320,βουλευτικές,ΗΛΕΙΑΣ,2012
30-35,14090,βουλευτικές,ΗΜΑΘΙΑΣ,2012
