age_group,count,election_type,electoral_district,year
54-59,2679,βουλευτικές,ΛΕΥΚΑΔΟΣ,2012
54-59,16016,βουλευτικές,ΜΑΓΝΗΣΙΑΣ,2012
54-59,18118,βουλευτικές,ΜΕΣΣΗΝΙΑΣ,2012
54-59,9973,βουλευτικές,ΞΑΝΘΗΣ,2012
54-59,13821,βουλευτικές,ΠΕΛΛΗΣ,2012
54-59,12336,βουλευτικές,ΠΙΕΡΙΑΣ,2012
54-59,6554,βουλευτικές,ΠΡΕΒΕΖΗΣ,2012
54-59,5755,βουλευτικές,ΡΕΘΥΜΝΗΣ,2012
54-59,10547,βουλευτικές,ΡΟΔΟΠΗΣ,2012
54-59,4110,βουλευτικές,ΣΑΜΟΥ,2012
54-59,22072,βουλευτικές,ΣΕΡΡΩΝ,2012
54-59,13994,βουλευτικές,ΤΡΙΚΑΛΩΝ,2012
54-59,14011,βουλευτικές,ΦΘΙΩΤΙΔΟΣ,2012
54-59,7720,βουλευτικές,ΦΛΩΡΙΝΗΣ,2012
54-59,3968,βουλευτικές,ΦΩΚΙΔΟΣ,2012
54-59,9448,βουλευτικές,ΧΑΛΚΙΔΙΚΗΣ,2012
54-59,12249,βουλευτικές,ΧΑΝΙΩΝ,2012
54-59,5583,βουλευτικές,ΧΙΟΥ,2012
60-65,20793,βουλευτικές,ΑΙΤΩΛ/ΝΙΑΣ,2012
60-65,8496,βουλευτικές,ΑΡΓΟΛΙΔΟΣ,2012
60-65,11958,βουλευτικές,ΑΡΚΑΔΙΑΣ,2012
60-65,7815,βουλευτικές,ΑΡΤΗΣ,2012
60-65,43468,βουλευτικές,Α'ΑΘΗΝΩΝ,2012
60-65,115638,βουλευτικές,Β'ΑΘΗΝΩΝ,2012
60-65,37769,βουλευτικές,ΝΟΜΟΥ ΑΤΤΙΚΗΣ,2012
60-65,17781,βουλευτικές,Α'  ΠΕΙΡΑΙΩΣ,2012
60-65,22163,βουλευτικές,Β'  ΠΕΙΡΑΙΩΣ,2012
60-65,23596,βουλευτικές,ΑΧΑΪΑΣ,2012
60-65,9316,βουλευτικές,ΒΟΙΩΤΙΑΣ,2012
60-65,3684,βουλευτικές,ΓΡΕΒΕΝΩΝ,2012
60-65,9341,βουλευτικές,ΔΡΑΜΑΣ,2012
60-65,18164,βουλευτικές,ΔΩΔΕΚΑΝΗΣΟΥ,2012
60-65,13255,βουλευτικές,ΕΒΡΟΥ,2012
60-65,17139,βουλευτικές,ΕΥΒΟΙΑΣ,2012
60-65,2658,βουλευτικές,ΕΥΡΥΤΑΝΙΑΣ,2012
60-65,3626,βουλευτικές,ΖΑΚΥΝΘΟΥ,2012
60-65,16391,βουλευτικές,ΗΛΕΙΑΣ,2012
60-65,12008,βουλευτικές,ΗΜΑΘΙΑΣ,2012
60-65,20658,βουλευτικές,ΗΡΑΚΛΕΙΟΥ,2012
60-65,5822,βουλευτικές,ΘΕΣΠΡΩΤΙΑΣ,2012
60-65,40677,βουλευτικές,Α'  ΘΕΣ/ΝΙΚΗΣ,2012
60-65,22756,βουλευτικές,Β'  ΘΕΣ/ΝΙΚΗΣ,2012
60-65,15803,βουλευτικές,ΙΩΑΝΝΙΝΩΝ,2012
60-65,12503,βουλευτικές,ΚΑΒΑΛΑΣ,2012
60-65,11920,βουλευτικές,ΚΑΡΔΙΤΣΗΣ,2012
60-65,4758,βουλευτικές,ΚΑΣΤΟΡΙΑΣ,2012
60-65,10114,βουλευτικές,ΚΕΡΚΥΡΑΣ,2012
60-65,4646,βουλευτικές,ΚΕΦΑΛΛΗΝΙΑΣ,2012
60-65,7868,βουλευτικές,ΚΙΛΚΙΣ,2012
60-65,12820,βουλευτικές,ΚΟΖΑΝΗΣ,2012
60-65,12876,βουλευτικές,ΚΟΡΙΝΘΙΑΣ,2012
60-65,10619,βουλευτικές,ΚΥΚΛΑΔΩΝ,2012
60-65,11227,βουλευτικές,ΛΑΚΩΝΙΑΣ,2012
60-65,20295,βουλευτικές,ΛΑΡΙΣΗΣ,2012
60-65,5803,βουλευτικές,ΛΑΣΙΘΙΟΥ,2012
60-65,10819,βουλευτικές,ΛΕΣΒΟΥ,2012
60-65,2666,βουλευτικές,ΛΕΥΚΑΔΟΣ,2012
60-65,14776,βουλευτικές,ΜΑΓΝΗΣΙΑΣ,2012
60-65,18263,βουλευτικές,ΜΕΣΣΗΝΙΑΣ,2012
60-65,9012,βουλευτικές,ΞΑΝΘΗΣ,2012
60-65,11640,βουλευτικές,ΠΕΛΛΗΣ,2012
60-65,10233,βουλευτικές,ΠΙΕΡΙΑΣ,2012
60-65,6569,βουλευτικές,ΠΡΕΒΕΖΗΣ,2012
60-65,5695,βουλευτικές,ΡΕΘΥΜΝΗΣ,2012
60-65,9869,βουλευτικές,ΡΟΔΟΠΗΣ,2012
60-65,4594,βουλευτικές,ΣΑΜΟΥ,2012
60-65,20356,βουλευτικές,ΣΕΡΡΩΝ,2012
60-65,13753,βουλευτικές,ΤΡΙΚΑΛΩΝ,2012
60-65,12316,βουλευτικές,ΦΘΙΩΤΙΔΟΣ,2012
60-65,7632,βουλευτικές,ΦΛΩΡΙΝΗΣ,2012
60-65,3961,βουλευτικές,ΦΩΚΙΔΟΣ,2012
60-65,9154,βουλευτικές,ΧΑΛΚΙΔΙΚΗΣ,2012
60-65,11681,βουλευτικές,ΧΑΝΙΩΝ,2012
60-65,5583,βουλευτικές,ΧΙΟΥ,2012
66-70,14273,βουλευτικές,ΑΙΤΩΛ/ΝΙΑΣ,2012
66-70,6244,βουλευτικές,ΑΡΓΟΛΙΔΟΣ,2012
66-70,9543,βουλευτικές,ΑΡΚΑΔΙΑΣ,2012
66-70,5537,βουλευτικές,ΑΡΤΗΣ,2012
66-70,33116,βουλευτικές,Α'ΑΘΗΝΩΝ,2012
66-70,81800,βουλευτικές,Β'ΑΘΗΝΩΝ,2012
66-70,27165,βουλευτικές,ΝΟΜΟΥ ΑΤΤΙΚΗΣ,2012
66-70,13293,βουλευτικές,Α'  ΠΕΙΡΑΙΩΣ,2012
66-70,16345,βουλευτικές,Β'  ΠΕΙΡΑΙΩΣ,2012
66-70,15672,βουλευτικές,ΑΧΑΪΑΣ,2012
66-70,7468,βουλευτικές,ΒΟΙΩΤΙΑΣ,2012
66-70,3092,βουλευτικές,ΓΡΕΒΕΝΩΝ,2012
66-70,6272,βουλευτικές,ΔΡΑΜΑΣ,2012
66-70,12482,βουλευτικές,ΔΩΔΕΚΑΝΗΣΟΥ,2012
66-70,11243,βουλευτικές,ΕΒΡΟΥ,2012
66-70,13482,βουλευτικές,ΕΥΒΟΙΑΣ,2012
66-70,2217,βουλευτικές,ΕΥΡΥΤΑΝΙΑΣ,2012
66-70,2388,βουλευτικές,ΖΑΚΥΝΘΟΥ,2012
66-70,11093,βουλευτικές,ΗΛΕΙΑΣ,2012
66-70,9265,βουλευτικές,ΗΜΑΘΙΑΣ,2012
66-70,14937,βουλευτικές,ΗΡΑΚΛΕΙΟΥ,2012
66-70,3776,βουλευτικές,ΘΕΣΠΡΩΤΙΑΣ,2012
66-70,28799,βουλευτικές,Α'  ΘΕΣ/ΝΙΚΗΣ,2012
66-70,18038,βουλευτικές,Β'  ΘΕΣ/ΝΙΚΗΣ,2012
66-70,11882,βουλευτικές,ΙΩΑΝΝΙΝΩΝ,2012
66-70,8574,βουλευτικές,ΚΑΒΑΛΑΣ,2012
66-70,9979,βουλευτικές,ΚΑΡΔΙΤΣΗΣ,2012
66-70,4309,βουλευτικές,ΚΑΣΤΟΡΙΑΣ,2012
66-70,6754,βουλευτικές,ΚΕΡΚΥΡΑΣ,2012
66-70,3554,βουλευτικές,ΚΕΦΑΛΛΗΝΙΑΣ,2012
66-70,7077,βουλευτικές,ΚΙΛΚΙΣ,2012
66-70,10092,βουλευτικές,ΚΟΖΑΝΗΣ,2012
66-70,9682,βουλευτικές,ΚΟΡΙΝΘΙΑΣ,2012
66-70,8374,βουλευτικές,ΚΥΚΛΑΔΩΝ,2012
66-70,9798,βουλευτικές,ΛΑΚΩΝΙΑΣ,2012
66-70,16008,βουλευτικές,ΛΑΡΙΣΗΣ,2012
66-70,4366,βουλευτικές,ΛΑΣΙΘΙΟΥ,2012
66-70,9551,βουλευτικές,ΛΕΣΒΟΥ,2012
66-70,1978,βουλευτικές,ΛΕΥΚΑΔΟΣ,2012
66-70,11557,βουλευτικές,ΜΑΓΝΗΣΙΑΣ,2012
66-70,13676,βουλευτικές,ΜΕΣΣΗΝΙΑΣ,2012
66-70,5872,βουλευτικές,ΞΑΝΘΗΣ,2012
66-70,9944,βουλευτικές,ΠΕΛΛΗΣ,2012
66-70,8455,βουλευτικές,ΠΙΕΡΙΑΣ,2012
66-70,4399,βουλευτικές,ΠΡΕΒΕΖΗΣ,2012
66-70,4150,βουλευτικές,ΡΕΘΥΜΝΗΣ,2012
66-70,7779,βουλευτικές,ΡΟΔΟΠΗΣ,2012
66-70,3620,βουλευτικές,ΣΑΜΟΥ,2012
66-70,15073,βουλευτικές,ΣΕΡΡΩΝ,2012
66-70,10604,βουλευτικές,ΤΡΙΚΑΛΩΝ,2012
66-70,10549,βουλευτικές,ΦΘΙΩΤΙΔΟΣ,2012
66-70,6885,βουλευτικές,ΦΛΩΡΙΝΗΣ,2012
66-70,3150,βουλευτικές,ΦΩΚΙΔΟΣ,2012
66-70,7616,βουλευτικές,ΧΑΛΚΙΔΙΚΗΣ,2012
66-70,8373,βουλευτικές,ΧΑΝΙΩΝ,2012
66-70,4191,βουλευτικές,ΧΙΟΥ,2012
71+,51892,βουλευτικές,ΑΙΤΩΛ/ΝΙΑΣ,2012
71+,20965,βουλευτικές,ΑΡΓΟΛΙΔΟΣ,2012
71+,41801,βουλευτικές,ΑΡΚΑΔΙΑΣ,2012
71+,18263,βουλευτικές,ΑΡΤΗΣ,2012
71+,138818,βουλευτικές,Α'ΑΘΗΝΩΝ,2012
71+,277905,βουλευτικές,Β'ΑΘΗΝΩΝ,2012
71+,72071,βουλευτικές,ΝΟΜΟΥ ΑΤΤΙΚΗΣ,2012
71+,54481,βουλευτικές,Α'  ΠΕΙΡΑΙΩΣ,2012
71+,61941,βουλευτικές,Β'  ΠΕΙΡΑΙΩΣ,2012
71+,53474,βουλευτικές,ΑΧΑΪΑΣ,2012
71+,24051,βουλευτικές,ΒΟΙΩΤΙΑΣ,2012
71+,11474,βουλευτικές,ΓΡΕΒΕΝΩΝ,2012
71+,27242,βουλευτικές,ΔΡΑΜΑΣ,2012
71+,34212,βουλευτικές,ΔΩΔΕΚΑΝΗΣΟΥ,2012
71+,36421,βουλευτικές,ΕΒΡΟΥ,2012
71+,45260,βουλευτικές,ΕΥΒΟΙΑΣ,2012
71+,9753,βουλευτικές,ΕΥΡΥΤΑΝΙΑΣ,2012
71+,11287,βουλευτικές,ΖΑΚΥΝΘΟΥ,2012
71+,41016,βουλευτικές,ΗΛΕΙΑΣ,2012
71+,26022,βουλευτικές,ΗΜΑΘΙΑΣ,2012
71+,45546,βουλευτικές,ΗΡΑΚΛΕΙΟΥ,2012
71+,11915,βουλευτικές,ΘΕΣΠΡΩΤΙΑΣ,2012
71+,93658,βουλευτικές,Α'  ΘΕΣ/ΝΙΚΗΣ,2012
71+,48965,βουλευτικές,Β'  ΘΕΣ/ΝΙΚΗΣ,2012
71+,40463,βουλευτικές,ΙΩΑΝΝΙΝΩΝ,2012
71+,34334,βουλευτικές,ΚΑΒΑΛΑΣ,2012
71+,32331,βουλευτικές,ΚΑΡΔΙΤΣΗΣ,2012
71+,17718,βουλευτικές,ΚΑΣΤΟΡΙΑΣ,2012
71+,27101,βουλευτικές,ΚΕΡΚΥΡΑΣ,2012
71+,18891,βουλευτικές,ΚΕΦΑΛΛΗΝΙΑΣ,2012
71+,25604,βουλευτικές,ΚΙΛΚΙΣ,2012
71+,37279,βουλευτικές,ΚΟΖΑΝΗΣ,2012
71+,33179,βουλευτικές,ΚΟΡΙΝΘΙΑΣ,2012
71+,32174,βουλευτικές,ΚΥΚΛΑΔΩΝ,2012
71+,46967,βουλευτικές,ΛΑΚΩΝΙΑΣ,2012
71+,52744,βουλευτικές,ΛΑΡΙΣΗΣ,2012
71+,16195,βουλευτικές,ΛΑΣΙΘΙΟΥ,2012
71+,46698,βουλευτικές,ΛΕΣΒΟΥ,2012
71+,8026,βουλευτικές,ΛΕΥΚΑΔΟΣ,2012
71+,39433,βουλευτικές,ΜΑΓΝΗΣΙΑΣ,2012
71+,59287,βουλευτικές,ΜΕΣΣΗΝΙΑΣ,2012
71+,18955,βουλευτικές,ΞΑΝΘΗΣ,2012
71+,30865,βουλευτικές,ΠΕΛΛΗΣ,2012
71+,26068,βουλευτικές,ΠΙΕΡΙΑΣ,2012
71+,12914,βουλευτικές,ΠΡΕΒΕΖΗΣ,2012
71+,14503,βουλευτικές,ΡΕΘΥΜΝΗΣ,2012
71+,22128,βουλευτικές,ΡΟΔΟΠΗΣ,2012
71+,16696,βουλευτικές,ΣΑΜΟΥ,2012
71+,54433,βουλευτικές,ΣΕΡΡΩΝ,2012
71+,31730,βουλευτικές,ΤΡΙΚΑΛΩΝ,2012
71+,36468,βουλευτικές,ΦΘΙΩΤΙΔΟΣ,2012
71+,32494,βουλευτικές,ΦΛΩΡΙΝΗΣ,2012
71+,13635,βουλευτικές,ΦΩΚΙΔΟΣ,2012
71+,20704,βουλευτικές,ΧΑΛΚΙΔΙΚΗΣ,2012
71+,30367,βουλευτικές,ΧΑΝΙΩΝ,2012
71+,19489,βουλευτικές,ΧΙΟΥ,2012
18-23,17987,τοπικής αυτοδιοίκηςη,ΑΙΤΩΛ/ΝΙΑΣ,2014
18-23,6327,τοπικής αυτοδιοίκηςη,ΑΡΓΟΛΙΔΟΣ,2014
18-23,6933,τοπικής αυτοδιοίκηςη,ΑΡΚΑΔΙΑΣ,2014
18-23,5491,τοπικής αυτοδιοίκηςη,ΑΡΤΗΣ,2014
18-23,23785,τοπικής αυτοδιοίκηςη,Α'ΑΘΗΝΩΝ,2014
18-23,96496,τοπικής αυτοδιοίκηςη,Β'ΑΘΗΝΩΝ,2014
18-23,35286,τοπικής αυτοδιοίκηςη,ΝΟΜΟΥ ΑΤΤΙΚΗΣ,2014
18-23,11109,τοπικής αυτοδιοίκηςη,Α'  ΠΕΙΡΑΙΩΣ,2014
18-23,17695,τοπικής αυτοδιοίκηςη,Β'  ΠΕΙΡΑΙΩΣ,2014
18-23,20538,τοπικής αυτοδιοίκηςη,ΑΧΑΪΑΣ,2014
18-23,7169,τοπικής αυτοδιοίκηςη,ΒΟΙΩΤΙΑΣ,2014
18-23,2722,τοπικής αυτοδιοίκηςη,ΓΡΕΒΕΝΩΝ,2014
18-23,9108,τοπικής αυτοδιοίκηςη,ΔΡΑΜΑΣ,2014
18-23,14151,τοπικής αυτοδιοίκηςη,ΔΩΔΕΚΑΝΗΣΟΥ,2014
18-23,11630,τοπικής αυτοδιοίκηςη,ΕΒΡΟΥ,2014
18-23,13785,τοπικής αυτοδιοίκηςη,ΕΥΒΟΙΑΣ,2014
18-23,1811,τοπικής αυτοδιοίκηςη,ΕΥΡΥΤΑΝΙΑΣ,2014
18-23,2779,τοπικής αυτοδιοίκηςη,ΖΑΚΥΝΘΟΥ,2014
18-23,11945,τοπικής αυτοδιοίκηςη,ΗΛΕΙΑΣ,2014
18-23,10165,τοπικής αυτοδιοίκηςη,ΗΜΑΘΙΑΣ,2014
18-23,19645,τοπικής αυτοδιοίκηςη,ΗΡΑΚΛΕΙΟΥ,2014
18-23,4262,τοπικής αυτοδιοίκηςη,ΘΕΣΠΡΩΤΙΑΣ,2014
18-23,36739,τοπικής αυτοδιοίκηςη,Α'  ΘΕΣ/ΝΙΚΗΣ,2014
18-23,22597,τοπικής αυτοδιοίκηςη,Β'  ΘΕΣ/ΝΙΚΗΣ,2014
18-23,10405,τοπικής αυτοδιοίκηςη,ΙΩΑΝΝΙΝΩΝ,2014
18-23,10335,τοπικής αυτοδιοίκηςη,ΚΑΒΑΛΑΣ,2014
18-23,9167,τοπικής αυτοδιοίκηςη,ΚΑΡΔΙΤΣΗΣ,2014
18-23,3500,τοπικής αυτοδιοίκηςη,ΚΑΣΤΟΡΙΑΣ,2014
18-23,6604,τοπικής αυτοδιοίκηςη,ΚΕΡΚΥΡΑΣ,2014
18-23,2888,τοπικής αυτοδιοίκηςη,ΚΕΦΑΛΛΗΝΙΑΣ,2014
18-23,7765,τοπικής αυτοδιοίκηςη,ΚΙΛΚΙΣ,2014
18-23,11438,τοπικής αυτοδιοίκηςη,ΚΟΖΑΝΗΣ,2014
18-23,8695,τοπικής αυτοδιοίκηςη,ΚΟΡΙΝΘΙΑΣ,2014
18-23,8337,τοπικής αυτοδιοίκηςη,ΚΥΚΛΑΔΩΝ,2014
18-23,5692,τοπικής αυτοδιοίκηςη,ΛΑΚΩΝΙΑΣ,2014
18-23,18474,τοπικής αυτοδιοίκηςη,ΛΑΡΙΣΗΣ,2014
18-23,4954,τοπικής αυτοδιοίκηςη,ΛΑΣΙΘΙΟΥ,2014
18-23,7117,τοπικής αυτοδιοίκηςη,ΛΕΣΒΟΥ,2014
18-23,1653,τοπικής αυτοδιοίκηςη,ΛΕΥΚΑΔΟΣ,2014
18-23,12089,τοπικής αυτοδιοίκηςη,ΜΑΓΝΗΣΙΑΣ,2014
18-23,11082,τοπικής αυτοδιοίκηςη,ΜΕΣΣΗΝΙΑΣ,2014
18-23,10487,τοπικής αυτοδιοίκηςη,ΞΑΝΘΗΣ,2014
18-23,11262,τοπικής αυτοδιοίκηςη,ΠΕΛΛΗΣ,2014
18-23,10099,τοπικής αυτοδιοίκηςη,ΠΙΕΡΙΑΣ,2014
18-23,4858,τοπικής αυτοδιοίκηςη,ΠΡΕΒΕΖΗΣ,2014
18-23,5889,τοπικής αυτοδιοίκηςη,ΡΕΘΥΜΝΗΣ,2014
18-23,9209,τοπικής αυτοδιοίκηςη,ΡΟΔΟΠΗΣ,2014
18-23,2760,τοπικής αυτοδιοίκηςη,ΣΑΜΟΥ,2014
18-23,16639,τοπικής αυτοδιοίκηςη,ΣΕΡΡΩΝ,2014
18-23,10498,τοπικής αυτοδιοίκηςη,ΤΡΙΚΑΛΩΝ,2014
18-23,9965,τοπικής αυτοδιοίκηςη,ΦΘΙΩΤΙΔΟΣ,2014
18-23,4270,τοπικής αυτοδιοίκηςη,ΦΛΩΡΙΝΗΣ,2014
18-23,2558,τοπικής αυτοδιοίκηςη,ΦΩΚΙΔΟΣ,2014
18-23,7628,τοπικής αυτοδιοίκηςη,ΧΑΛΚΙΔΙΚΗΣ,2014
18-23,10266,τοπικής αυτοδιοίκηςη,ΧΑΝΙΩΝ,2014
18-23,3511,τοπικής αυτοδιοίκηςη,ΧΙΟΥ,2014
24-29,19773,τοπικής αυτοδιοίκηςη,ΑΙΤΩΛ/ΝΙΑΣ,2014
24-29,7324,τοπικής αυτοδιοίκηςη,ΑΡΓΟΛΙΔΟΣ,2014
24-29,7693,τοπικής αυτοδιοίκηςη,ΑΡΚΑΔΙΑΣ,2014
24-29,6196,τοπικής αυτοδιοίκηςη,ΑΡΤΗΣ,2014
24-29,27771,τοπικής αυτοδιοίκηςη,Α'ΑΘΗΝΩΝ,2014
24-29,100966,τοπικής αυτοδιοίκηςη,Β'ΑΘΗΝΩΝ,2014
24-29,36959,τοπικής αυτοδιοίκηςη,ΝΟΜΟΥ ΑΤΤΙΚΗΣ,2014
24-29,12929,τοπικής αυτοδιοίκηςη,Α'  ΠΕΙΡΑΙΩΣ,2014
24-29,19565,τοπικής αυτοδιοίκηςη,Β'  ΠΕΙΡΑΙΩΣ,2014
24-29,22898,τοπικής αυτοδιοίκηςη,ΑΧΑΪΑΣ,2014
24-29,8202,τοπικής αυτοδιοίκηςη,ΒΟΙΩΤΙΑΣ,2014
24-29,2865,τοπικής αυτοδιοίκηςη,ΓΡΕΒΕΝΩΝ,2014
24-29,8977,τοπικής αυτοδιοίκηςη,ΔΡΑΜΑΣ,2014
24-29,14638,τοπικής αυτοδιοίκηςη,ΔΩΔΕΚΑΝΗΣΟΥ,2014
24-29,12194,τοπικής αυτοδιοίκηςη,ΕΒΡΟΥ,2014
24-29,15523,τοπικής αυτοδιοίκηςη,ΕΥΒΟΙΑΣ,2014
24-29,2140,τοπικής αυτοδιοίκηςη,ΕΥΡΥΤΑΝΙΑΣ,2014
24-29,2957,τοπικής αυτοδιοίκηςη,ΖΑΚΥΝΘΟΥ,2014
24-29,13544,τοπικής αυτοδιοίκηςη,ΗΛΕΙΑΣ,2014
24-29,10699,τοπικής αυτοδιοίκηςη,ΗΜΑΘΙΑΣ,2014
24-29,21383,τοπικής αυτοδιοίκηςη,ΗΡΑΚΛΕΙΟΥ,2014
24-29,4698,τοπικής αυτοδιοίκηςη,ΘΕΣΠΡΩΤΙΑΣ,2014
24-29,39330,τοπικής αυτοδιοίκηςη,Α'  ΘΕΣ/ΝΙΚΗΣ,2014
24-29,21835,τοπικής αυτοδιοίκηςη,Β'  ΘΕΣ/ΝΙΚΗΣ,2014
24-29,12009,τοπικής αυτοδιοίκηςη,ΙΩΑΝΝΙΝΩΝ,2014
24-29,10412,τοπικής αυτοδιοίκηςη,ΚΑΒΑΛΑΣ,2014
24-29,10347,τοπικής αυτοδιοίκηςη,ΚΑΡΔΙΤΣΗΣ,2014
24-29,4047,τοπικής αυτοδιοίκηςη,ΚΑΣΤΟΡΙΑΣ,2014
24-29,7716,τοπικής αυτοδιοίκηςη,ΚΕΡΚΥΡΑΣ,2014
24-29,3308,τοπικής αυτοδιοίκηςη,ΚΕΦΑΛΛΗΝΙΑΣ,2014
24-29,7732,τοπικής αυτοδιοίκηςη,ΚΙΛΚΙΣ,2014
24-29,12649,τοπικής αυτοδιοίκηςη,ΚΟΖΑΝΗΣ,2014
24-29,9671,τοπικής αυτοδιοίκηςη,ΚΟΡΙΝΘΙΑΣ,2014
24-29,8743,τοπικής αυτοδιοίκηςη,ΚΥΚΛΑΔΩΝ,2014
24-29,6634,τοπικής αυτοδιοίκηςη,ΛΑΚΩΝΙΑΣ,2014
24-29,19834,τοπικής αυτοδιοίκηςη,ΛΑΡΙΣΗΣ,2014
24-29,5366,τοπικής αυτοδιοίκηςη,ΛΑΣΙΘΙΟΥ,2014
24-29,7423,τοπικής αυτοδιοίκηςη,ΛΕΣΒΟΥ,2014
24-29,2030,τοπικής αυτοδιοίκηςη,ΛΕΥΚΑΔΟΣ,2014
24-29,13548,τοπικής αυτοδιοίκηςη,ΜΑΓΝΗΣΙΑΣ,2014
24-29,13190,τοπικής αυτοδιοίκηςη,ΜΕΣΣΗΝΙΑΣ,2014
24-29,11100,τοπικής αυτοδιοίκηςη,ΞΑΝΘΗΣ,2014
24-29,11825,τοπικής αυτοδιοίκηςη,ΠΕΛΛΗΣ,2014
24-29,10252,τοπικής αυτοδιοίκηςη,ΠΙΕΡΙΑΣ,2014
24-29,5250,τοπικής αυτοδιοίκηςη,ΠΡΕΒΕΖΗΣ,2014
24-29,5896,τοπικής αυτοδιοίκηςη,ΡΕΘΥΜΝΗΣ,2014
24-29,9980,τοπικής αυτοδιοίκηςη,ΡΟΔΟΠΗΣ,2014
24-29,3066,τοπικής αυτοδιοίκηςη,ΣΑΜΟΥ,2014
24-29,17341,τοπικής αυτοδιοίκηςη,ΣΕΡΡΩΝ,2014
24-29,11407,τοπικής αυτοδιοίκηςη,ΤΡΙΚΑΛΩΝ,2014
24-29,11190,τοπικής αυτοδιοίκηςη,ΦΘΙΩΤΙΔΟΣ,2014
24-29,4580,τοπικής αυτοδιοίκηςη,ΦΛΩΡΙΝΗΣ,2014
24-29,2937,τοπικής αυτοδιοίκηςη,ΦΩΚΙΔΟΣ,2014
24-29,7792,τοπικής αυτοδιοίκηςη,ΧΑΛΚΙΔΙΚΗΣ,2014
24-29,11057,τοπικής αυτοδιοίκηςη,ΧΑΝΙΩΝ,2014
24-29,4048,τοπικής αυτοδιοίκηςη,ΧΙΟΥ,2014
30-35,23173,τοπικής αυτοδιοίκηςη,ΑΙΤΩΛ/ΝΙΑΣ,2014
30-35,8877,τοπικής αυτοδιοίκηςη,ΑΡΓΟΛΙΔΟΣ,2014
30-35,9402,τοπικής αυτοδιοίκηςη,ΑΡΚΑΔΙΑΣ,2014
30-35,7498,τοπικής αυτοδιοίκηςη,ΑΡΤΗΣ,2014
30-35,36580,τοπικής αυτοδιοίκηςη,Α'ΑΘΗΝΩΝ,2014
30-35,134525,τοπικής αυτοδιοίκηςη,Β'ΑΘΗΝΩΝ,2014
30-35,47548,τοπικής αυτοδιοίκηςη,ΝΟΜΟΥ ΑΤΤΙΚΗΣ,2014
30-35,16788,τοπικής αυτοδιοίκηςη,Α'  ΠΕΙΡΑΙΩΣ,2014
30-35,26035,τοπικής αυτοδιοίκηςη,Β'  ΠΕΙΡΑΙΩΣ,2014
30-35,28902,τοπικής αυτοδιοίκηςη,ΑΧΑΪΑΣ,2014
30-35,10287,τοπικής αυτοδιοίκηςη,ΒΟΙΩΤΙΑΣ,2014
30-35,3475,τοπικής αυτοδιοίκηςη,ΓΡΕΒΕΝΩΝ,2014
30-35,10572,τοπικής αυτοδιοίκηςη,ΔΡΑΜΑΣ,2014
30-35,17643,τοπικής αυτοδιοίκηςη,ΔΩΔΕΚΑΝΗΣΟΥ,2014
30-35,14917,τοπικής αυτοδιοίκηςη,ΕΒΡΟΥ,2014
30-35,19491,τοπικής αυτοδιοίκηςη,ΕΥΒΟΙΑΣ,2014
30-35,2367,τοπικής αυτοδιοίκηςη,ΕΥΡΥΤΑΝΙΑΣ,2014
30-35,3578,τοπικής αυτοδιοίκηςη,ΖΑΚΥΝΘΟΥ,2014
30-35,15835,τοπικής αυτοδιοίκηςη,ΗΛΕΙΑΣ,2014
30-35,13134,τοπικής αυτοδιοίκηςη,ΗΜΑΘΙΑΣ,2014
30-35,26656,τοπικής αυτοδιοίκηςη,ΗΡΑΚΛΕΙΟΥ,2014
30-35,5954,τοπικής αυτοδιοίκηςη,ΘΕΣΠΡΩΤΙΑΣ,2014
30-35,51365,τοπικής αυτοδιοίκηςη,Α'  ΘΕΣ/ΝΙΚΗΣ,2014
30-35,27473,τοπικής αυτοδιοίκηςη,Β'  ΘΕΣ/ΝΙΚΗΣ,2014
30-35,16252,τοπικής αυτοδιοίκηςη,ΙΩΑΝΝΙΝΩΝ,2014
30-35,12574,τοπικής αυτοδιοίκηςη,ΚΑΒΑΛΑΣ,2014
30-35,12169,τοπικής αυτοδιοίκηςη,ΚΑΡΔΙΤΣΗΣ,2014
30-35,4934,τοπικής αυτοδιοίκηςη,ΚΑΣΤΟΡΙΑΣ,2014
30-35,9751,τοπικής αυτοδιοίκηςη,ΚΕΡΚΥΡΑΣ,2014
30-35,3912,τοπικής αυτοδιοίκηςη,ΚΕΦΑΛΛΗΝΙΑΣ,2014
30-35,8829,τοπικής αυτοδιοίκηςη,ΚΙΛΚΙΣ,2014
30-35,15115,τοπικής αυτοδιοίκηςη,ΚΟΖΑΝΗΣ,2014
30-35,12436,τοπικής αυτοδιοίκηςη,ΚΟΡΙΝΘΙΑΣ,2014
30-35,10713,τοπικής αυτοδιοίκηςη,ΚΥΚΛΑΔΩΝ,2014
30-35,8372,τοπικής αυτοδιοίκηςη,ΛΑΚΩΝΙΑΣ,2014
30-35,24552,τοπικής αυτοδιοίκηςη,ΛΑΡΙΣΗΣ,2014
30-35,6501,τοπικής αυτοδιοίκηςη,ΛΑΣΙΘΙΟΥ,2014
30-35,9101,τοπικής αυτοδιοίκηςη,ΛΕΣΒΟΥ,2014
30-35,2391,τοπικής αυτοδιοίκηςη,ΛΕΥΚΑΔΟΣ,2014
30-35,17052,τοπικής αυτοδιοίκηςη,ΜΑΓΝΗΣΙΑΣ,2014
