appprocesstime,average_speed,countedcars,deviceid
2020-11-05T00:00:00Z,24.765957446808518,1880,MS289
2020-11-05T00:00:00Z,61.024886877828045,17680,MS290
2020-11-05T00:00:00Z,63.08250825082509,12120,MS291
2020-11-05T00:00:00Z,82.6457399103139,8920,MS292
2020-11-05T00:00:00Z,51.17241379310345,1160,MS293
2020-11-05T00:00:00Z,55.06451612903225,1240,MS294
2020-11-05T00:00:00Z,86.27812500000003,12800,MS295
2020-11-05T00:00:00Z,57.58490566037737,2120,MS297
2020-11-05T00:00:00Z,72.25112107623319,8920,MS300
2020-11-05T00:00:00Z,57.06666666666669,2400,MS301
2020-11-05T00:00:00Z,71.73062730627306,10840,MS302
2020-11-05T00:00:00Z,61.13999999999999,2000,MS303
2020-11-05T00:00:00Z,25.125,320,MS304
2020-11-05T00:00:00Z,47.607142857142854,2240,MS306
2020-11-05T00:00:00Z,76.76097560975613,8200,MS308
2020-11-05T00:00:00Z,79.19999999999999,400,MS309
2020-11-05T00:00:00Z,37.07167235494881,11720,MS311
2020-11-05T00:00:00Z,45.92647058823531,2720,MS312
2020-11-05T00:00:00Z,67.68609865470853,8920,MS315
2020-11-05T00:00:00Z,57.431818181818166,1760,MS316
2020-11-05T00:00:00Z,29.08108108108108,1480,MS318
2020-11-05T00:00:00Z,41.391304347826086,2760,MS321
2020-11-05T00:00:00Z,36.639097744360896,5320,MS339
2020-11-05T00:00:00Z,34.75892857142856,4480,MS340
2020-11-05T00:00:00Z,49.92473118279571,3720,MS341
2020-11-05T00:00:00Z,37.11111111111112,1080,MS343
2020-11-05T00:00:00Z,69.07905138339919,10120,MS348
2020-11-05T00:00:00Z,65.90769230769233,2600,MS349
2020-11-05T00:00:00Z,46.64285714285715,1680,MS350
2020-11-05T00:00:00Z,46.6891891891892,8880,MS356
2020-11-05T00:00:00Z,49.625000000000014,11520,MS358
2020-11-05T00:00:00Z,46.56105610561056,12120,MS362
2020-11-05T00:00:00Z,39.02352941176469,10200,MS364
2020-11-05T00:00:00Z,31.157142857142865,2800,MS365
2020-11-05T00:00:00Z,38.82618510158013,17720,MS366
2020-11-05T00:00:00Z,45.72687224669602,9080,MS367
2020-11-05T00:00:00Z,47.14893617021278,7520,MS371
2020-11-05T00:00:00Z,35.13978494623656,18600,MS372
2020-11-05T00:00:00Z,30.744186046511626,1720,MS374
2020-11-05T00:00:00Z,52.435374149659864,11760,MS376
2020-11-05T00:00:00Z,36.639097744360896,5320,MS377
2020-11-05T00:00:00Z,40.028776978417255,11120,MS381
2020-11-05T00:00:00Z,42.72043010752689,3720,MS383
2020-11-05T00:00:00Z,48.24107142857143,8960,MS390
2020-11-05T00:00:00Z,48.80717488789238,8920,MS391
2020-11-05T00:00:00Z,50.72514619883042,6840,MS392
2020-11-05T00:00:00Z,50.63942307692309,8320,MS393
2020-11-05T00:00:00Z,46.07964601769912,4520,MS394
2020-11-05T00:00:00Z,44.91428571428573,7000,MS395
2020-11-05T00:00:00Z,46.86538461538461,4160,MS399
2020-11-05T00:00:00Z,37.54347826086958,1840,MS403
2020-11-05T00:00:00Z,32.090909090909086,1760,MS404
2020-11-05T00:00:00Z,33.82608695652174,920,MS405
2020-11-05T00:00:00Z,36.788043478260875,7360,MS406
2020-11-05T00:00:00Z,44.20909090909091,8800,MS407
2020-11-05T00:00:00Z,46.82517482517482,5720,MS413
2020-11-05T00:00:00Z,49.339552238805965,10720,MS414
2020-11-05T00:00:00Z,47.78378378378378,8880,MS415
2020-11-05T00:00:00Z,48.32442748091603,10480,MS416
2020-11-05T00:00:00Z,52.343137254901954,12240,MS417
2020-11-05T00:00:00Z,47.42978723404257,9400,MS418
2020-11-05T00:00:00Z,51.29411764705882,12920,MS419
2020-11-05T00:00:00Z,48.91282051282048,7800,MS421
2020-11-05T00:00:00Z,33.26027397260274,2920,MS422
2020-11-05T00:00:00Z,41.97188755020079,9960,MS423
2020-11-05T00:00:00Z,51.724137931034484,3480,MS424
2020-11-05T00:00:00Z,30.729729729729744,1480,MS425
2020-11-05T00:00:00Z,54.078125,10240,MS426
