active,entrants,exits,quarter,year
76438,,151,Q4,2011
76597,317,7,Q1,2012
76821,232,8,Q2,2012
77397,583,7,Q3,2012
77693,312,16,Q4,2012
77929,241,5,Q1,2013
78116,193,6,Q2,2013
78624,521,13,Q3,2013
61731,,,Q4,2013
61493,198,436,Q1,2014
61413,223,303,Q2,2014
61825,763,351,Q3,2014
61694,325,456,Q4,2014
61607,255,342,Q1,2015
