institution,ngo,private_sector,public_sector,year
ΤΕΙ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,0,83,44,2018
ΤΕΙ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,3,205,169,2018
ΤΕΙ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,1,137,49,2018
ΤΕΙ ΗΠΕΙΡΟΥ,1,98,134,2018
ΤΕΙ ΘΕΣΣΑΛΙΑΣ,4,150,178,2018
ΤΕΙ ΙΟΝΙΩΝ ΝΗΣΩΝ,0,14,8,2018
ΤΕΙ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,1,64,22,2018
ΤΕΙ ΚΡΗΤΗΣ,6,130,52,2018
ΤΕΙ ΠΕΙΡΑΙΑ,0,42,18,2018
ΤΕΙ ΠΕΛΟΠΟΝΝΗΣΟΥ,0,59,45,2018
ΤΕΙ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,0,87,106,2018
ΧΑΡΟΚΟΠΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ,15,153,52,2018
