accident_type,burns,damages,deaths,end_time,fire_station,fire_trucks,fire_vessels,firefighters,incident,incident_detail,injuries,location_description,municipality,people_involved,prefecture,start_time,village
ΑΠΕΛΕΥΘΕΡΩΣΗ,0,0,0,, 7ος Π.Σ. ΑΘΗΝΩΝ,1,,3, ΕΠΕΜΒΑΣΗ ΣΕ ΑΝΕΛΚΥΣΤΗΡΑ,ΑΠΕΛΕΥΘΕΡΩΣΗ ΑΠΟ ΑΝΕΛΚΥΣΤΗΡΑ,0,ΚΤΙΡΙΑ ΔΙΑΜΕΡΙΣΜΑΤΩΝ                    ,Δ. ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ,2,ΑΤΤΙΚΗΣ,2014-04-19T00:00:00,
,0,0,0,, 7ος Π.Σ. ΑΘΗΝΩΝ,1,,5, ΠΥΡΚΑΓΙΑ,ΜΙΚΡΗ,0,ΠΕΖΟΔΡΟΜΙΑ                              ,Δ. ΑΘΗΝΑΙΩΝ,1,ΑΤΤΙΚΗΣ,2014-04-26T00:00:00,
,0,0,0,,1ος  Π.Σ. ΛΑΡΙΣΑΣ,,,, ΕΠΕΜΒΑΣΗ ΣΕ ΑΝΕΛΚΥΣΤΗΡΑ,ΑΠΕΛΕΥΘΕΡΩΣΗ ΑΠΟ ΑΝΕΛΚΥΣΤΗΡΑ,0,ΚΤΙΡΙΑ ΔΙΑΜΕΡΙΣΜΑΤΩΝ                    ,Δ. ΛΑΡΙΣΑΙΩΝ,1,ΛΑΡΙΣΑΣ,2014-05-18T00:00:00,
,0,0,0,,Π.Κ. ΦΑΡΣΑΛΩΝ,1,,2, ΠΥΡΚΑΓΙΑ,ΜΙΚΡΗ,0,ΟΙΚΟΠΕΔΙΚΟΙ ΧΩΡΟΙ                       ,Δ. ΦΑΡΣΑΛΩΝ,1,ΛΑΡΙΣΑΣ,2014-06-01T00:00:00,
ΑΠΕΛΕΥΘΕΡΩΣΗ,0,0,0,,1ος  Π.Σ. ΘΕΣΣΑΛΟΝΙΚΗΣ,1,,2, ΕΠΕΜΒΑΣΗ ΣΕ ΑΝΕΛΚΥΣΤΗΡΑ,ΑΠΕΛΕΥΘΕΡΩΣΗ ΑΠΟ ΑΝΕΛΚΥΣΤΗΡΑ,0,ΚΤΙΡΙΑ ΔΙΑΜΕΡΙΣΜΑΤΩΝ                    ,Δ. ΘΕΣΣΑΛΟΝΙΚΗΣ,1,ΘΕΣΣΑΛΟΝΙΚΗΣ,2014-06-08T00:00:00,
,0,0,0,, 1ος Π.Σ. ΑΘΗΝΩΝ,1,,2, ΠΑΡΟΧΗ ΒΟΗΘΕΙΑΣ,ΑΦΑΙΡΕΣΗ ΑΝΤΙΚΕΙΜΕΝΩΝ - ΚΑΤΑΡΡΕΥΣΕΙΣ,0,ΟΔΟΣ                                    ,Δ. ΑΘΗΝΑΙΩΝ,1,ΑΤΤΙΚΗΣ,2014-06-18T00:00:00,
,0,0,0,,1ος  Π.Σ. ΘΕΣΣΑΛΟΝΙΚΗΣ,1,,2, ΠΑΡΟΧΗ ΒΟΗΘΕΙΑΣ,ΑΝΤΛΗΣΗ ΝΕΡΟΥ,0,ΚΑΤΑΣΤΗΜΑΤΑ                             ,Δ. ΘΕΣΣΑΛΟΝΙΚΗΣ,1,ΘΕΣΣΑΛΟΝΙΚΗΣ,2014-06-28T00:00:00,
ΑΠΕΛΕΥΘΕΡΩΣΗ,0,0,0,,3ος  Π.Σ. ΘΕΣΣΑΛΟΝΙΚΗΣ,1,,3, ΕΠΕΜΒΑΣΗ ΣΕ ΑΝΕΛΚΥΣΤΗΡΑ,ΑΠΕΛΕΥΘΕΡΩΣΗ ΑΠΟ ΑΝΕΛΚΥΣΤΗΡΑ,0,ΚΤΙΡΙΑ ΔΙΑΜΕΡΙΣΜΑΤΩΝ                    ,Δ. ΘΕΣΣΑΛΟΝΙΚΗΣ,1,ΘΕΣΣΑΛΟΝΙΚΗΣ,2014-07-02T00:00:00,
,0,0,0,,Π.Υ. ΑΡΤΑΣ,1,,2, ΠΥΡΚΑΓΙΑ,ΜΙΚΡΗ,0,ΠΡΑΝΟΙ ΟΔΩΝ                             ,Δ. ΝΙΚΟΛΑΟΥ ΣΚΟΥΦΑ,1,ΑΡΤΑΣ,2014-07-04T00:00:00,
,0,0,0,, 2ος Π.Σ. ΑΘΗΝΩΝ,,,, ΠΑΡΟΧΗ ΒΟΗΘΕΙΑΣ,ΔΙΑΦΥΓΗ ΕΠΙΚΙΝΔΥΝΩΝ ΟΥΣΙΩΝ,0,ΟΔΟΣ                                    ,Δ. ΑΘΗΝΑΙΩΝ,1,ΑΤΤΙΚΗΣ,2014-07-09T00:00:00,
