accident_type,burns,damages,deaths,end_time,fire_station,fire_trucks,fire_vessels,firefighters,incident,incident_detail,injuries,location_description,municipality,people_involved,prefecture,start_time,village
ΑΠΕΛΕΥΘΕΡΩΣΗ,0,0,0,,Π.Υ. ΚΑΡΔΙΤΣΑΣ,1,0,3,ΕΠΕΜΒΑΣΗ ΣΕ ΑΝΕΛΚΥΣΤΗΡΑ,ΑΠΕΛΕΥΘΕΡΩΣΗ ΑΠΟ ΑΝΕΛΚΥΣΤΗΡΑ,0,ΚΤΙΡΙΑ ΔΙΑΜΕΡΙΣΜΑΤΩΝ                    ,Δ. ΚΑΡΔΙΤΣΑΣ,1,ΚΑΡΔΙΤΣΑΣ,2015-03-21T00:00:00,
,0,0,0,,Π.Υ. ΝΕΑΣ ΜΑΚΡΗΣ,3,0,8,ΠΥΡΚΑΓΙΑ,ΜΙΚΡΗ,0,ΚΤΙΡΙΑ ΑΝΩΤΑΤΗΣ ΕΩΣ & ΔΗΜΟΤΙΚΗΣ ΕΚΠ/ΣΗΣ ,Δ. ΜΑΡΑΘΩΝΟΣ,1,ΑΤΤΙΚΗΣ,2015-03-26T00:00:00,
,0,0,0,, 2ος Π.Σ. ΑΘΗΝΩΝ,0,0,0,ΠΥΡΚΑΓΙΑ,ΜΙΚΡΗ,0,ΟΔΟΣ                                    ,Δ. ΑΙΓΑΛΕΩ,1,ΑΤΤΙΚΗΣ,2015-04-08T00:00:00,
,0,0,0,,Π.Υ. ΦΛΩΡΙΝΑΣ,3,0,6,ΠΥΡΚΑΓΙΑ,ΜΙΚΡΗ,0,ΛΕΒΗΤΟΣΤΑΣΙΑ ΚΑΥΣΤΗΡΕΣ ΚΑΛΟΡΙΦΕΡ        ,Δ. ΦΛΩΡΙΝΑΣ,1,ΦΛΩΡΙΝΑΣ,2015-04-10T00:00:00,
,0,0,0,,1ος  Π.Σ. ΗΡΑΚΛΕΙΟΥ,1,0,3,ΠΑΡΟΧΗ ΒΟΗΘΕΙΑΣ,ΑΠΕΛΕΥΘΕΡΩΣΗ ΟΔΟΣΤΡΩΜΑΤΟΣ,0,ΟΔΟΣ                                    ,Δ. ΗΡΑΚΛΕΙΟΥ,1,ΗΡΑΚΛΕΙΟΥ,2015-04-10T00:00:00,
ΑΠΕΛΕΥΘΕΡΩΣΗ,0,0,0,,1ος  Π.Σ. ΙΩΑΝΝΙΝΩΝ,1,0,2,ΕΠΕΜΒΑΣΗ ΣΕ ΑΝΕΛΚΥΣΤΗΡΑ,ΑΠΕΛΕΥΘΕΡΩΣΗ ΑΠΟ ΑΝΕΛΚΥΣΤΗΡΑ,0,ΚΤΙΡΙΑ ΔΙΑΜΕΡΙΣΜΑΤΩΝ                    ,Δ. ΙΩΑΝΝΙΤΩΝ,1,ΙΩΑΝΝΙΝΩΝ,2015-05-31T00:00:00,
ΑΠΕΛΕΥΘΕΡΩΣΗ,0,0,0,,3ος  Π.Σ. ΘΕΣΣΑΛΟΝΙΚΗΣ,1,0,2,ΕΠΕΜΒΑΣΗ ΣΕ ΑΝΕΛΚΥΣΤΗΡΑ,ΑΠΕΛΕΥΘΕΡΩΣΗ ΑΠΟ ΑΝΕΛΚΥΣΤΗΡΑ,0,ΚΤΙΡΙΑ ΔΙΑΜΕΡΙΣΜΑΤΩΝ                    ,Δ. ΘΕΣΣΑΛΟΝΙΚΗΣ,1,ΘΕΣΣΑΛΟΝΙΚΗΣ,2015-06-09T00:00:00,
,0,0,0,,Π.Υ. ΣΕΡΡΩΝ,1,0,2,ΕΠΕΜΒΑΣΗ ΣΕ ΑΝΕΛΚΥΣΤΗΡΑ,ΑΠΕΛΕΥΘΕΡΩΣΗ ΑΠΟ ΑΝΕΛΚΥΣΤΗΡΑ,0,ΚΤΙΡΙΑ ΔΙΑΜΕΡΙΣΜΑΤΩΝ                    ,Δ. ΣΕΡΡΩΝ,1,ΣΕΡΡΩΝ,2015-06-17T00:00:00,
,0,0,0,2015-07-21T00:55:00,10ος Π.Σ. ΑΘΗΝΩΝ,0,0,0,ΠΥΡΚΑΓΙΑ,ΜΙΚΡΗ,0,ΟΙΚΟΠΕΔΙΚΟΙ ΧΩΡΟΙ                       ,Δ. ΦΥΛΗΣ,1,ΑΤΤΙΚΗΣ,2015-07-21T00:00:00,ΖΕΦΥΡΙ
,0,0,0,, 2ος Π.Σ. ΑΘΗΝΩΝ,0,0,0,ΠΥΡΚΑΓΙΑ,ΜΙΚΡΗ,0,ΠΡΑΝΟΙ ΟΔΩΝ                             ,Δ. ΑΘΗΝΑΙΩΝ,1,ΑΤΤΙΚΗΣ,2015-07-27T00:00:00,
ΑΠΕΛΕΥΘΕΡΩΣΗ,0,0,0,, 4ος Π.Σ. ΑΘΗΝΩΝ,1,0,2,ΕΠΕΜΒΑΣΗ ΣΕ ΑΝΕΛΚΥΣΤΗΡΑ,ΑΠΕΛΕΥΘΕΡΩΣΗ ΑΠΟ ΑΝΕΛΚΥΣΤΗΡΑ,0,ΚΤΙΡΙΑ ΔΙΑΜΕΡΙΣΜΑΤΩΝ                    ,Δ. ΑΘΗΝΑΙΩΝ,1,ΑΤΤΙΚΗΣ,2015-08-03T00:00:00,
,0,0,0,,Π.Κ. ΑΝΔΡΟΥ,3,0,4,ΠΥΡΚΑΓΙΑ,ΜΙΚΡΗ,0,ΟΙΚΟΠΕΔΙΚΟΙ ΧΩΡΟΙ                       ,Δ. ΑΝΔΡΟΥ,1,ΚΥΚΛΑΔΩΝ,2015-08-14T00:00:00,
ΑΠΕΛΕΥΘΕΡΩΣΗ,0,0,0,,3ος  Π.Σ. ΘΕΣΣΑΛΟΝΙΚΗΣ,1,0,2,ΕΠΕΜΒΑΣΗ ΣΕ ΑΝΕΛΚΥΣΤΗΡΑ,ΑΠΕΛΕΥΘΕΡΩΣΗ ΑΠΟ ΑΝΕΛΚΥΣΤΗΡΑ,0,ΚΤΙΡΙΑ ΔΙΑΜΕΡΙΣΜΑΤΩΝ                    ,Δ. ΘΕΣΣΑΛΟΝΙΚΗΣ,4,ΘΕΣΣΑΛΟΝΙΚΗΣ,2015-09-01T00:00:00,
,0,0,0,,Π.Υ. ΑΡΓΟΣΤΟΛΙΟΥ,1,0,3,ΠΑΡΟΧΗ ΒΟΗΘΕΙΑΣ,ΑΝΤΛΗΣΗ ΝΕΡΟΥ,0,ΚΤΙΡΙΑ ΔΙΑΜΕΡΙΣΜΑΤΩΝ                    ,Δ. ΚΕΦΑΛΛΟΝΙΑΣ,1,ΚΕΦΑΛΛΟΝΙΑΣ,2015-09-26T00:00:00,ΑΡΓΟΣΤΟΛΙ
,0,0,0,2015-10-27T00:32:00,Π.Υ. ΡΟΔΟΥ,1,0,2,ΠΑΡΟΧΗ ΒΟΗΘΕΙΑΣ,ΑΝΟΙΓΜΑ ΘΥΡΩΝ,0,,Δ. ΡΟΔΟΥ,1,ΔΩΔΕΚΑΝΗΣΩΝ,2015-10-27T00:00:00,
,0,0,0,,3ος  Π.Σ. ΘΕΣΣΑΛΟΝΙΚΗΣ,2,0,6,ΠΥΡΚΑΓΙΑ,ΜΙΚΡΗ,0,ΠΕΖΟΔΡΟΜΙΑ                              ,Δ. ΘΕΣΣΑΛΟΝΙΚΗΣ,1,ΘΕΣΣΑΛΟΝΙΚΗΣ,2015-11-22T00:00:00,
,0,0,0,, 1ος Π.Σ. ΑΘΗΝΩΝ,1,0,3,ΠΥΡΚΑΓΙΑ,ΜΙΚΡΗ,0,ΟΔΟΣ                                    ,Δ. ΑΘΗΝΑΙΩΝ,1,ΑΤΤΙΚΗΣ,2015-12-06T00:00:00,
,0,0,0,,Π.Υ. ΒΕΡΟΙΑΣ,1,0,4,ΠΥΡΚΑΓΙΑ,ΨΕΥΔΗΣ ΑΝΑΓΓΕΛΙΑ,0,,Δ. ΒΕΡΟΙΑΣ,1,ΗΜΑΘΙΑΣ,2015-12-21T00:00:00,
,0,0,0,2015-12-25T00:30:00,Π.Υ. ΛΑΜΙΑΣ,1,0,3,ΠΥΡΚΑΓΙΑ,ΜΙΚΡΗ,0,ΟΔΟΣ                                    ,Δ. ΛΑΜΙΕΩΝ,1,ΦΘΙΩΤΙΔΑΣ,2015-12-25T00:00:00,ΛΑΜΙΑ
,0,0,0,,Π.Υ. ΚΟΡΙΝΘΟΥ,1,0,2,ΔΕΛΤΙΟ ΠΑΡΟΧΗΣ ΒΟΗΘΕΙΑΣ,ΠΛΥΣΙΜΟ ΟΔΟΥ,0,ΟΔΟΣ                                    ,Δ. ΚΟΡΙΝΘΙΩΝ,1,ΚΟΡΙΝΘΙΑΣ,2016-01-10T00:00:00,
,0,0,0,,3ος  Π.Σ. ΠΕΙΡΑΙΑ,1,0,3,ΔΕΛΤΙΟ ΠΥΡΚΑΓΙΑΣ,ΜΙΚΡΗ,0,ΔΙΠΛΟΚΑΤΟΙΚΙΕΣ                          ,Δ. ΝΙΚΑΙΑΣ - ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ,1,ΑΤΤΙΚΗΣ,2016-02-01T00:00:00,
,0,0,0,,2ος  Π.Σ. ΘΕΣΣΑΛΟΝΙΚΗΣ,1,0,3,ΔΕΛΤΙΟ ΠΥΡΚΑΓΙΑΣ,ΜΙΚΡΗ,0,ΚΤΙΡΙΑ ΔΙΑΜΕΡΙΣΜΑΤΩΝ                    ,Δ. ΑΜΠΕΛΟΚΗΠΩΝ-ΜΕΝΕΜΕΝΗΣ,1,ΘΕΣΣΑΛΟΝΙΚΗΣ,2016-02-04T00:00:00,ΑΜΠΕΛΟΚΗΠΟΙ
,0,0,0,2016-02-22T00:25:00,10ος Π.Σ. ΑΘΗΝΩΝ,1,0,5,ΔΕΛΤΙΟ ΠΥΡΚΑΓΙΑΣ,ΜΙΚΡΗ,0,ΟΙΚΟΠΕΔΙΚΟΙ ΧΩΡΟΙ                       ,Δ. ΠΕΡΙΣΤΕΡΙΟΥ,1,ΑΤΤΙΚΗΣ,2016-02-22T00:00:00,ΠΕΡΙΣΤΕΡΙ
,0,0,0,,2ος  Π.Σ. ΙΩΑΝΝΙΝΩΝ,2,0,5,ΔΕΛΤΙΟ ΠΑΡΟΧΗΣ ΒΟΗΘΕΙΑΣ,ΑΛΛΕΣ ΠΕΡΙΠΤΩΣΕΙΣ,0,,Δ. ΙΩΑΝΝΙΤΩΝ,1,ΙΩΑΝΝΙΝΩΝ,2016-02-22T00:00:00,
,0,0,0,,1ος  Π.Σ. ΠΕΙΡΑΙΑ,1,0,3,ΔΕΛΤΙΟ ΠΥΡΚΑΓΙΑΣ,ΜΙΚΡΗ,0,ΟΔΟΣ                                    ,Δ. ΝΙΚΑΙΑΣ - ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ,1,ΑΤΤΙΚΗΣ,2016-02-28T00:00:00,
,0,0,0,,2ος  Π.Σ. ΠΕΙΡΑΙΑ,1,0,3,ΔΕΛΤΙΟ ΠΥΡΚΑΓΙΑΣ,ΜΙΚΡΗ,0,ΠΡΑΝΟΙ ΟΔΩΝ                             ,Δ. ΠΕΙΡΑΙΩΣ,1,ΑΤΤΙΚΗΣ,2016-03-18T00:00:00,
,0,0,0,, 2ος Π.Σ. ΑΘΗΝΩΝ,1,0,4,ΔΕΛΤΙΟ ΕΠΕΜΒΑΣΗΣ ΣΕ ΑΝΕΛΚΥΣΤΗΡΑ,ΑΠΕΛΕΥΘΕΡΩΣΗ ΑΠΟ ΑΝΕΛΚΥΣΤΗΡΑ,0,ΚΤΙΡΙΑ ΔΙΑΜΕΡΙΣΜΑΤΩΝ                    ,Δ. ΑΘΗΝΑΙΩΝ,1,ΑΤΤΙΚΗΣ,2016-03-26T00:00:00,
,0,0,0,,2ος  Π.Σ. ΠΕΙΡΑΙΑ,2,0,6,ΔΕΛΤΙΟ ΠΥΡΚΑΓΙΑΣ,ΜΙΚΡΗ,0,ΕΡΓΟΣΤΑΣΙΑ                              ,Δ. ΠΕΙΡΑΙΩΣ,1,ΑΤΤΙΚΗΣ,2016-03-28T00:00:00,
,0,0,0,,Π.Υ. ΚΡΩΠΙΑΣ,1,0,2,ΔΕΛΤΙΟ ΠΥΡΚΑΓΙΑΣ,ΜΙΚΡΗ,0,ΠΡΑΝΟΙ ΟΔΩΝ                             ,Δ. ΚΡΩΠΙΑΣ,1,ΑΤΤΙΚΗΣ,2016-04-25T00:00:00,
,0,0,0,,1ος  Π.Σ. ΙΩΑΝΝΙΝΩΝ,2,0,4,ΔΕΛΤΙΟ ΠΥΡΚΑΓΙΑΣ,ΜΙΚΡΗ,0,ΔΙΠΛΟΚΑΤΟΙΚΙΕΣ                          ,Δ. ΙΩΑΝΝΙΤΩΝ,1,ΙΩΑΝΝΙΝΩΝ,2016-05-02T00:00:00,
,0,0,0,,1ος  Π.Σ. ΛΑΡΙΣΑΣ,2,0,6,ΔΕΛΤΙΟ ΠΥΡΚΑΓΙΑΣ,ΜΙΚΡΗ,0,ΑΥΤΟΚΙΝΗΤΑ                              ,Δ. ΛΑΡΙΣΑΙΩΝ,1,ΛΑΡΙΣΑΣ,2016-05-09T00:00:00,
ΑΠΕΛΕΥΘΕΡΩΣΗ,0,0,0,,1ος  Π.Σ. ΠΑΤΡΩΝ,1,0,3,ΔΕΛΤΙΟ ΕΠΕΜΒΑΣΗΣ ΣΕ ΑΝΕΛΚΥΣΤΗΡΑ,ΑΠΕΛΕΥΘΕΡΩΣΗ ΑΠΟ ΑΝΕΛΚΥΣΤΗΡΑ,0,ΚΤΙΡΙΑ ΔΙΑΜΕΡΙΣΜΑΤΩΝ                    ,Δ. ΠΑΤΡΕΩΝ,5,ΑΧΑΙΑΣ,2016-06-12T00:00:00,
,0,0,0,, 2ος Π.Σ. ΑΘΗΝΩΝ,2,0,7,ΔΕΛΤΙΟ ΠΥΡΚΑΓΙΑΣ,ΜΙΚΡΗ,0,ΜΟΝΟΚΑΤΟΙΚΙΕΣ                           ,Δ. ΑΘΗΝΑΙΩΝ,1,ΑΤΤΙΚΗΣ,2016-06-15T00:00:00,
,0,0,0,, 2ος Π.Σ. ΑΘΗΝΩΝ,2,0,7,ΔΕΛΤΙΟ ΠΥΡΚΑΓΙΑΣ,ΨΕΥΔΗΣ ΑΝΑΓΓΕΛΙΑ,0,ΚΑΤΑΣΤΗΜΑΤΑ                             ,Δ. ΑΘΗΝΑΙΩΝ,1,ΑΤΤΙΚΗΣ,2016-06-16T00:00:00,
,0,0,0,,Π.Υ. ΛΑΥΡΙΟΥ,1,0,2,ΔΕΛΤΙΟ ΠΥΡΚΑΓΙΑΣ,ΨΕΥΔΗΣ ΑΝΑΓΓΕΛΙΑ,0,ΘΑΛΑΣΣΙΟΣ ΧΩΡΟΣ                         ,Δ. ΣΑΡΩΝΙΚΟΥ,1,ΑΤΤΙΚΗΣ,2016-06-17T00:00:00,ΑΝΑΒΥΣΣΟΣ
,0,0,0,,Π.Υ. ΠΥΡΓΟΥ,1,0,2,ΔΕΛΤΙΟ ΠΥΡΚΑΓΙΑΣ,ΜΙΚΡΗ,0,ΠΡΑΝΟΙ ΟΔΩΝ                             ,Δ. ΠΥΡΓΟΥ,1,ΗΛΕΙΑΣ,2016-06-19T00:00:00,
,0,0,0,,Π.Υ. ΠΥΡΓΟΥ,4,0,7,ΔΕΛΤΙΟ ΠΥΡΚΑΓΙΑΣ,ΜΙΚΡΗ,0,ΚΑΛΑΜΙΑ-ΒΑΛΤΟΙ                          ,Δ. ΠΥΡΓΟΥ,1,ΗΛΕΙΑΣ,2016-06-21T00:00:00,
,0,0,0,,2ος  Π.Σ. ΘΕΣΣΑΛΟΝΙΚΗΣ,1,0,3,ΔΕΛΤΙΟ ΠΥΡΚΑΓΙΑΣ,ΜΙΚΡΗ,0,ΜΟΤΟΠΟΔΗΛΑΤΑ                            ,Δ. ΕΥΟΣΜΟΥ-ΚΟΡΔΕΛΙΟΥ,1,ΘΕΣΣΑΛΟΝΙΚΗΣ,2016-07-13T00:00:00,ΕΥΟΣΜΟΣ
ΔΙΑΣΩΣΗ,0,0,0,,1ος  Π.Σ. ΘΕΣΣΑΛΟΝΙΚΗΣ,1,0,2,ΔΕΛΤΙΟ ΠΑΡΟΧΗΣ ΒΟΗΘΕΙΑΣ,ΑΝΟΙΓΜΑ ΘΥΡΩΝ,0,ΚΤΙΡΙΑ ΔΙΑΜΕΡΙΣΜΑΤΩΝ                    ,Δ. ΘΕΣΣΑΛΟΝΙΚΗΣ,1,ΘΕΣΣΑΛΟΝΙΚΗΣ,2016-07-14T00:00:00,
,0,0,0,, 2ος Π.Σ. ΑΘΗΝΩΝ,1,0,3,ΔΕΛΤΙΟ ΕΠΕΜΒΑΣΗΣ ΣΕ ΑΝΕΛΚΥΣΤΗΡΑ,ΑΠΕΛΕΥΘΕΡΩΣΗ ΑΠΟ ΑΝΕΛΚΥΣΤΗΡΑ,0,ΚΤΙΡΙΑ ΔΙΑΜΕΡΙΣΜΑΤΩΝ                    ,Δ. ΑΘΗΝΑΙΩΝ,1,ΑΤΤΙΚΗΣ,2016-07-17T00:00:00,
,0,0,0,, 2ος Π.Σ. ΑΘΗΝΩΝ,1,0,3,ΔΕΛΤΙΟ ΠΥΡΚΑΓΙΑΣ,ΜΙΚΡΗ,0,ΠΕΖΟΔΡΟΜΙΑ                              ,Δ. ΑΘΗΝΑΙΩΝ,1,ΑΤΤΙΚΗΣ,2016-07-17T00:00:00,
,0,0,0,,6ος  Π.Σ. ΘΕΣΣΑΛΟΝΙΚΗΣ,1,0,2,ΔΕΛΤΙΟ ΠΑΡΟΧΗΣ ΒΟΗΘΕΙΑΣ,ΑΠΕΛΕΥΘΕΡΩΣΗ ΟΔΟΣΤΡΩΜΑΤΟΣ,0,ΟΔΟΣ                                    ,Δ. ΔΕΛΤΑ,1,ΘΕΣΣΑΛΟΝΙΚΗΣ,2016-07-18T00:00:00,
ΑΠΕΛΕΥΘΕΡΩΣΗ,0,0,0,,1ος  Π.Σ. ΛΑΡΙΣΑΣ,1,0,2,ΔΕΛΤΙΟ ΕΠΕΜΒΑΣΗΣ ΣΕ ΑΝΕΛΚΥΣΤΗΡΑ,ΑΠΕΛΕΥΘΕΡΩΣΗ ΑΠΟ ΑΝΕΛΚΥΣΤΗΡΑ,0,ΚΤΙΡΙΑ ΔΙΑΜΕΡΙΣΜΑΤΩΝ                    ,Δ. ΛΑΡΙΣΑΙΩΝ,1,ΛΑΡΙΣΑΣ,2016-07-24T00:00:00,
,0,0,0,2016-07-24T00:15:00,Π.Υ. ΛΑΜΙΑΣ,1,0,3,ΔΕΛΤΙΟ ΕΠΕΜΒΑΣΗΣ ΣΕ ΑΝΕΛΚΥΣΤΗΡΑ,ΑΠΕΛΕΥΘΕΡΩΣΗ ΑΠΟ ΑΝΕΛΚΥΣΤΗΡΑ,0,ΚΤΙΡΙΑ ΔΙΑΜΕΡΙΣΜΑΤΩΝ                    ,Δ. ΛΑΜΙΕΩΝ,1,ΦΘΙΩΤΙΔΑΣ,2016-07-24T00:00:00,ΛΑΜΙΑ
,0,0,0,,Π.Υ. ΛΑΥΡΙΟΥ,2,0,4,ΔΕΛΤΙΟ ΠΥΡΚΑΓΙΑΣ,ΜΙΚΡΗ,0,ΟΙΚΟΠΕΔΙΚΟΙ ΧΩΡΟΙ                       ,Δ. ΛΑΥΡΕΩΤΙΚΗΣ,1,ΑΤΤΙΚΗΣ,2016-07-28T00:00:00,ΛΑΥΡΙΟ
,0,0,0,, 7ος Π.Σ. ΑΘΗΝΩΝ,2,0,7,ΔΕΛΤΙΟ ΠΥΡΚΑΓΙΑΣ,ΜΙΚΡΗ,0,ΚΤΙΡΙΑ ΔΙΑΜΕΡΙΣΜΑΤΩΝ                    ,Δ. ΗΛΙΟΥΠΟΛΕΩΣ,1,ΑΤΤΙΚΗΣ,2016-07-31T00:00:00,
ΑΠΕΛΕΥΘΕΡΩΣΗ,0,0,0,,Π.Υ. ΤΡΙΚΑΛΩΝ,1,0,3,ΔΕΛΤΙΟ ΕΠΕΜΒΑΣΗΣ ΣΕ ΑΝΕΛΚΥΣΤΗΡΑ,ΑΠΕΛΕΥΘΕΡΩΣΗ ΑΠΟ ΑΝΕΛΚΥΣΤΗΡΑ,0,ΚΤΙΡΙΑ ΔΙΑΜΕΡΙΣΜΑΤΩΝ                    ,Δ. ΤΡΙΚΚΑΙΩΝ,1,ΤΡΙΚΑΛΩΝ,2016-08-04T00:00:00,
,0,0,0,,Π.Υ. ΗΓΟΥΜΕΝΙΤΣΑΣ,1,0,2,ΔΕΛΤΙΟ ΠΑΡΟΧΗΣ ΒΟΗΘΕΙΑΣ,,0,ΟΙΚΟΔΟΜΕΣ                               ,Δ. ΗΓΟΥΜΕΝΙΤΣΑΣ,1,ΘΕΣΠΡΩΤΙΑΣ,2016-08-08T00:00:00,
ΑΠΕΛΕΥΘΕΡΩΣΗ,0,0,0,,2ος  Π.Σ. ΘΕΣΣΑΛΟΝΙΚΗΣ,1,0,2,ΔΕΛΤΙΟ ΕΠΕΜΒΑΣΗΣ ΣΕ ΑΝΕΛΚΥΣΤΗΡΑ,ΑΠΕΛΕΥΘΕΡΩΣΗ ΑΠΟ ΑΝΕΛΚΥΣΤΗΡΑ,0,ΚΤΙΡΙΑ ΔΙΑΜΕΡΙΣΜΑΤΩΝ                    ,Δ. ΕΥΟΣΜΟΥ-ΚΟΡΔΕΛΙΟΥ,2,ΘΕΣΣΑΛΟΝΙΚΗΣ,2016-08-13T00:00:00,ΚΟΡΔΕΛΙΟ
,0,0,0,, 5ος Π.Σ. ΑΘΗΝΩΝ,2,0,6,ΔΕΛΤΙΟ ΠΥΡΚΑΓΙΑΣ,ΨΕΥΔΗΣ ΑΝΑΓΓΕΛΙΑ,0,,Δ. ΝΕΑΣ ΣΜΥΡΝΗΣ,1,ΑΤΤΙΚΗΣ,2016-08-15T00:00:00,
,0,0,0,,Π.Κ. ΣΑΜΗΣ,1,0,2,ΔΕΛΤΙΟ ΠΥΡΚΑΓΙΑΣ,ΜΙΚΡΗ,0,ΚΑΤΑΣΤΗΜΑΤΑ                             ,Δ. ΚΕΦΑΛΛΟΝΙΑΣ,1,ΚΕΦΑΛΛΟΝΙΑΣ,2016-08-21T00:00:00,
,0,0,0,,1ος  Π.Σ. ΙΩΑΝΝΙΝΩΝ,1,0,2,ΔΕΛΤΙΟ ΠΑΡΟΧΗΣ ΒΟΗΘΕΙΑΣ,ΑΦΑΙΡΕΣΗ ΑΝΤΙΚΕΙΜΕΝΩΝ - ΚΑΤΑΡΡΕΥΣΕΙΣ,0,ΟΙΚΟΔΟΜΕΣ                               ,Δ. ΙΩΑΝΝΙΤΩΝ,1,ΙΩΑΝΝΙΝΩΝ,2016-08-25T00:00:00,
,0,0,0,, 4ος Π.Σ. ΑΘΗΝΩΝ,2,0,6,ΔΕΛΤΙΟ ΠΥΡΚΑΓΙΑΣ,ΜΙΚΡΗ,0,ΚΤΙΡΙΑ ΔΙΑΜΕΡΙΣΜΑΤΩΝ                    ,Δ. ΖΩΓΡΑΦΟΥ,1,ΑΤΤΙΚΗΣ,2016-08-30T00:00:00,
,0,0,0,,Π.Υ. ΑΡΓΟΣΤΟΛΙΟΥ,1,0,2,ΔΕΛΤΙΟ ΠΑΡΟΧΗΣ ΒΟΗΘΕΙΑΣ,ΑΝΤΛΗΣΗ ΝΕΡΟΥ,0,ΜΟΝΟΚΑΤΟΙΚΙΕΣ                           ,Δ. ΚΕΦΑΛΛΟΝΙΑΣ,1,ΚΕΦΑΛΛΟΝΙΑΣ,2016-09-07T00:00:00,ΚΑΡΑΒΑΔΟΣ
,0,0,0,2016-09-15T01:00:00,Π.Υ. ΡΟΔΟΥ,1,0,2,ΔΕΛΤΙΟ ΠΥΡΚΑΓΙΑΣ,ΜΙΚΡΗ,0,ΟΙΚΟΠΕΔΙΚΟΙ ΧΩΡΟΙ                       ,Δ. ΡΟΔΟΥ,1,ΔΩΔΕΚΑΝΗΣΩΝ,2016-09-15T00:00:00,
,0,0,0,,Π.Κ. ΣΙΔΗΡΟΚΑΣΤΡΟΥ,1,0,2,ΔΕΛΤΙΟ ΠΑΡΟΧΗΣ ΒΟΗΘΕΙΑΣ,ΔΙΑΣΩΣΕΙΣ ΖΩΩΝ,0,ΜΟΝΟΚΑΤΟΙΚΙΕΣ                           ,Δ. ΗΡΑΚΛΕΙΑΣ,1,ΣΕΡΡΩΝ,2016-09-16T00:00:00,ΗΡΑΚΛΕΙΑ
,0,0,0,,Π.Υ. ΣΕΡΡΩΝ,1,0,2,ΔΕΛΤΙΟ ΕΠΕΜΒΑΣΗΣ ΣΕ ΑΝΕΛΚΥΣΤΗΡΑ,ΑΠΕΛΕΥΘΕΡΩΣΗ ΑΠΟ ΑΝΕΛΚΥΣΤΗΡΑ,0,ΚΤΙΡΙΑ ΔΙΑΜΕΡΙΣΜΑΤΩΝ                    ,Δ. ΣΕΡΡΩΝ,1,ΣΕΡΡΩΝ,2016-09-23T00:00:00,ΣΕΡΡΕΣ
,0,0,0,,Π.Υ. ΣΕΡΡΩΝ,1,0,2,ΔΕΛΤΙΟ ΕΠΕΜΒΑΣΗΣ ΣΕ ΑΝΕΛΚΥΣΤΗΡΑ,ΑΠΕΛΕΥΘΕΡΩΣΗ ΑΠΟ ΑΝΕΛΚΥΣΤΗΡΑ,0,ΚΤΙΡΙΑ ΔΙΑΜΕΡΙΣΜΑΤΩΝ                    ,Δ. ΣΕΡΡΩΝ,1,ΣΕΡΡΩΝ,2016-10-15T00:00:00,ΣΕΡΡΕΣ
,0,0,0,,Π.Υ. ΔΙΔΥΜΟΤΕΙΧΟΥ,4,0,8,ΔΕΛΤΙΟ ΠΥΡΚΑΓΙΑΣ,ΜΕΓΑΛΗ,0,ΜΟΝΟΚΑΤΟΙΚΙΕΣ                           ,Δ. ΔΙΔΥΜΟΤΕΙΧΟΥ,1,ΕΒΡΟΥ,2016-11-05T00:00:00,ΚΥΑΝΗ
,0,0,0,2016-11-24T00:30:00,10ος Π.Σ. ΑΘΗΝΩΝ,1,0,4,ΔΕΛΤΙΟ ΠΥΡΚΑΓΙΑΣ,ΜΙΚΡΗ,0,ΟΔΟΣ                                    ,Δ. ΙΛΙΟΥ,1,ΑΤΤΙΚΗΣ,2016-11-24T00:00:00,ΙΛΙΟΝ
,0,0,0,,Π.Υ. ΔΡΑΜΑΣ,2,0,5,ΔΕΛΤΙΟ ΠΥΡΚΑΓΙΑΣ,ΜΙΚΡΗ,0,ΚΤΙΡΙΑ ΔΙΑΜΕΡΙΣΜΑΤΩΝ                    ,Δ. ΔΡΑΜΑΣ,1,ΔΡΑΜΑΣ,2016-11-26T00:00:00,
ΑΠΕΛΕΥΘΕΡΩΣΗ,0,0,0,,Π.Υ. ΧΑΛΚΙΔΑΣ,1,0,3,ΔΕΛΤΙΟ ΕΠΕΜΒΑΣΗΣ ΣΕ ΑΝΕΛΚΥΣΤΗΡΑ,ΑΠΕΛΕΥΘΕΡΩΣΗ ΑΠΟ ΑΝΕΛΚΥΣΤΗΡΑ,0,ΚΤΙΡΙΑ ΔΙΑΜΕΡΙΣΜΑΤΩΝ                    ,Δ. ΔΙΡΦΥΩΝ - ΜΕΣΣΑΠΙΩΝ,1,ΕΥΒΟΙΑΣ,2016-12-21T00:00:00,ΨΑΧΝΑ
,0,0,0,,4ος  Π.Σ. ΠΕΙΡΑΙΑ,2,0,5,ΔΕΛΤΙΟ ΠΥΡΚΑΓΙΑΣ,ΜΙΚΡΗ,0,ΟΙΚΟΠΕΔΙΚΟΙ ΧΩΡΟΙ                       ,Δ. ΠΕΡΑΜΑΤΟΣ,1,ΑΤΤΙΚΗΣ,2017-01-01T00:00:00,
